iter	Passed	Remaining
449	1100	1344
450	1102	1341
451	1104	1339
452	1106	1336
453	1109	1333
454	1111	1330
455	1113	1328
456	1115	1325
457	1118	1323
458	1121	1321
459	1123	1318
460	1125	1316
461	1127	1313
462	1129	1310
463	1132	1307
464	1134	1305
465	1136	1302
466	1138	1299
467	1140	1296
468	1142	1293
469	1144	1290
470	1146	1287
471	1149	1285
472	1151	1282
473	1153	1279
474	1155	1276
475	1157	1274
476	1159	1271
477	1164	1271
478	1166	1268
479	1169	1266
480	1171	1263
481	1173	1261
482	1180	1263
483	1184	1262
484	1186	1260
485	1189	1258
486	1197	1261
487	1199	1258
488	1201	1255
489	1203	1253
490	1206	1250
491	1209	1249
492	1212	1246
493	1215	1244
494	1218	1242
495	1221	1241
496	1223	1238
497	1226	1236
498	1229	1234
499	1232	1232
500	1237	1232
501	1243	1233
502	1247	1232
503	1249	1230
504	1254	1229
505	1260	1230
506	1263	1228
507	1266	1226
508	1268	1223
509	1271	1222
510	1278	1222
511	1281	1221
512	1284	1219
513	1291	1220
514	1295	1219
515	1298	1218
516	1301	1215
517	1303	1213
518	1306	1210
519	1308	1208
520	1310	1205
521	1312	1202
522	1314	1199
523	1316	1196
524	1318	1193
525	1320	1190
526	1322	1187
527	1325	1184
528	1327	1181
529	1329	1178
530	1331	1175
531	1333	1172
532	1335	1169
533	1337	1167
534	1339	1164
535	1341	1161
536	1343	1158
537	1345	1155
538	1347	1152
539	1349	1149
540	1351	1146
541	1354	1144
542	1356	1141
543	1358	1138
544	1360	1135
545	1362	1132
546	1364	1129
547	1366	1126
548	1368	1123
549	1370	1121
550	1372	1118
551	1374	1115
552	1376	1112
553	1378	1109
554	1380	1107
555	1382	1104
556	1385	1101
557	1387	1098
558	1389	1096
559	1391	1093
560	1394	1090
561	1396	1088
562	1398	1085
563	1400	1082
564	1402	1080
565	1405	1077
566	1407	1074
567	1409	1071
568	1411	1069
569	1413	1066
570	1415	1063
571	1417	1060
572	1419	1057
573	1421	1055
574	1423	1052
575	1425	1049
576	1427	1046
577	1429	1043
578	1431	1040
579	1433	1038
580	1435	1035
581	1437	1032
582	1439	1029
583	1441	1026
584	1443	1024
585	1445	1021
586	1447	1018
587	1449	1015
588	1451	1013
589	1453	1010
590	1455	1007
591	1457	1004
592	1459	1001
593	1461	999
594	1463	996
595	1465	993
596	1467	990
597	1469	988
598	1471	985
599	1473	982
600	1475	979
601	1477	976
602	1480	974
603	1482	971
604	1484	969
605	1486	966
606	1488	963
607	1490	960
608	1492	958
609	1494	955
610	1496	952
611	1498	949
612	1500	947
613	1502	944
614	1504	942
615	1507	939
616	1509	936
617	1512	934
618	1514	932
619	1516	929
620	1518	926
621	1520	924
622	1522	921
623	1524	918
624	1526	915
625	1529	913
626	1531	910
627	1533	908
628	1535	905
629	1537	902
630	1538	899
631	1540	897
632	1542	894
633	1544	891
634	1546	889
635	1548	886
636	1550	883
637	1552	880
638	1554	878
639	1556	875
640	1558	872
641	1560	870
642	1562	867
643	1564	864
644	1566	862
645	1568	859
646	1570	856
647	1572	854
648	1574	851
649	1576	848
650	1578	846
651	1580	843
652	1582	840
653	1584	838
654	1586	835
655	1588	833
656	1592	831
657	1594	828
658	1597	826
659	1599	824
660	1602	821
661	1604	819
662	1606	816
663	1609	814
664	1612	812
665	1614	809
666	1616	807
667	1618	804
668	1620	801
669	1623	799
670	1625	797
671	1627	794
672	1629	791
673	1631	789
674	1633	786
675	1635	783
676	1637	781
677	1639	778
678	1641	776
679	1643	773
680	1645	771
681	1647	768
682	1649	765
683	1651	763
684	1653	760
685	1655	757
686	1658	755
687	1661	753
688	1663	750
689	1665	748
690	1667	745
691	1669	742
692	1671	740
693	1673	737
694	1675	735
695	1677	732
696	1679	730
697	1681	727
698	1683	724
699	1685	722
700	1687	719
701	1689	717
702	1691	714
703	1693	712
704	1695	709
705	1697	706
706	1699	704
707	1702	702
708	1704	699
709	1706	697
710	1708	694
711	1710	691
712	1712	689
713	1714	686
714	1716	684
715	1718	681
716	1720	678
717	1722	676
718	1724	673
719	1726	671
720	1728	668
721	1730	666
722	1731	663
723	1734	661
724	1736	658
725	1738	656
726	1740	653
727	1741	650
728	1744	648
729	1746	645
730	1748	643
731	1750	640
732	1752	638
733	1754	635
734	1756	633
735	1757	630
736	1760	628
737	1762	625
738	1764	623
739	1766	620
740	1768	618
741	1770	615
742	1772	613
743	1774	610
744	1776	607
745	1778	605
746	1780	603
747	1782	600
748	1785	598
749	1788	596
750	1790	593
751	1792	591
752	1795	588
753	1798	586
754	1801	584
755	1805	582
756	1808	580
757	1810	577
758	1812	575
759	1815	573
760	1817	570
761	1819	568
762	1821	565
763	1823	563
764	1825	560
765	1827	558
766	1829	555
767	1831	553
768	1833	550
769	1835	548
770	1838	545
771	1840	543
772	1842	540
773	1844	538
774	1846	536
775	1848	533
776	1850	531
777	1852	528
778	1854	526
779	1856	523
780	1858	521
781	1860	518
782	1862	516
783	1864	513
784	1866	511
785	1868	508
786	1870	506
787	1872	503
788	1874	501
789	1876	498
790	1878	496
791	1880	493
792	1882	491
793	1884	488
794	1886	486
795	1888	484
796	1890	481
797	1892	479
798	1894	476
799	1896	474
800	1898	471
801	1900	469
802	1902	466
803	1904	464
804	1906	461
805	1909	459
806	1911	457
807	1913	454
808	1915	452
809	1917	449
810	1919	447
811	1921	444
812	1923	442
813	1925	439
814	1927	437
815	1929	435
816	1931	432
817	1933	430
818	1935	427
819	1937	425
820	1939	422
821	1942	420
822	1944	418
823	1947	415
824	1950	413
825	1952	411
826	1954	408
827	1957	406
828	1959	404
829	1961	401
830	1963	399
831	1964	396
832	1967	394
833	1968	391
834	1970	389
835	1972	387
836	1975	384
837	1977	382
838	1980	380
839	1982	377
840	1984	375
841	1986	372
842	1988	370
843	1990	367
844	1992	365
845	1994	363
846	1996	360
847	1998	358
848	2001	355
849	2003	353
850	2005	351
851	2008	348
852	2010	346
853	2011	343
854	2014	341
855	2016	339
856	2018	336
857	2021	334
858	2023	332
859	2025	329
860	2026	327
861	2029	324
862	2031	322
863	2033	320
864	2035	317
865	2037	315
866	2039	312
867	2041	310
868	2044	308
869	2046	305
870	2048	303
871	2051	301
872	2053	298
873	2055	296
874	2057	293
875	2059	291
876	2061	289
877	2063	286
878	2065	284
879	2067	281
880	2069	279
881	2072	277
882	2074	274
883	2076	272
884	2078	270
885	2080	267
886	2082	265
887	2084	262
888	2086	260
889	2088	258
890	2090	255
891	2093	253
892	2095	251
893	2097	248
894	2099	246
895	2101	243
896	2103	241
897	2105	239
898	2107	236
899	2109	234
900	2111	232
901	2113	229
902	2115	227
903	2117	224
904	2121	222
905	2124	220
906	2127	218
907	2129	215
908	2131	213
909	2133	211
910	2135	208
911	2137	206
912	2139	203
913	2142	201
914	2144	199
915	2146	196
916	2148	194
917	2151	192
918	2153	189
919	2154	187
920	2157	185
921	2159	182
922	2161	180
923	2163	177
924	2165	175
925	2167	173
926	2169	170
927	2171	168
928	2173	166
929	2176	163
930	2178	161
931	2179	159
932	2182	156
933	2184	154
934	2186	152
935	2188	149
936	2190	147
937	2192	144
938	2195	142
939	2197	140
940	2199	137
941	2201	135
942	2203	133
943	2206	130
944	2208	128
945	2210	126
946	2212	123
947	2214	121
948	2216	119
949	2218	116
950	2221	114
951	2223	112
952	2225	109
953	2227	107
954	2230	105
955	2232	102
956	2234	100
957	2236	98
958	2238	95
959	2241	93
960	2243	91
961	2245	88
962	2247	86
963	2249	83
964	2251	81
965	2253	79
966	2256	76
967	2258	74
968	2260	72
969	2262	69
970	2264	67
971	2266	65
972	2268	62
973	2270	60
974	2272	58
975	2275	55
976	2277	53
977	2279	51
978	2281	48
979	2283	46
980	2285	44
981	2287	41
982	2290	39
983	2292	37
984	2294	34
985	2296	32
986	2298	30
987	2300	27
988	2302	25
989	2304	23
990	2306	20
991	2308	18
992	2310	16
993	2312	13
994	2314	11
995	2315	9
996	2317	6
997	2319	4
998	2321	2
999	2323	0
