iter	RMSE
599	14168.31476
600	14164.96235
601	14129.03785
602	14078.77063
603	14038.33147
604	14007.1641
605	13943.54954
606	13941.03618
607	13919.46558
608	13860.36429
609	13802.88111
610	13798.94356
611	13741.92065
612	13724.91589
613	13687.13146
614	13683.91523
615	13681.26017
616	13677.85251
617	13672.12196
618	13650.68787
619	13642.05498
620	13634.32804
621	13630.94092
622	13627.47134
623	13621.64606
624	13618.06519
625	13601.62535
626	13598.52346
627	13583.7085
628	13579.85462
629	13576.25575
630	13562.30409
631	13541.89129
632	13539.29183
633	13525.85853
634	13503.96822
635	13498.15468
636	13492.81606
637	13489.4204
638	13482.54799
639	13477.065
640	13461.58038
641	13458.81205
642	13453.6889
643	13448.42012
644	13446.35014
645	13437.03692
646	13424.16367
647	13410.71575
648	13404.71277
649	13399.69703
650	13392.38425
651	13388.31403
652	13362.81582
653	13333.82637
654	13268.95772
655	13225.88997
656	13221.06656
657	13199.29817
658	13153.76373
659	13148.55621
660	13123.39486
661	13086.07528
662	13051.01089
663	13044.04148
664	13002.34636
665	12947.78233
666	12943.20498
667	12937.79022
668	12898.49511
669	12871.65095
670	12844.63011
671	12799.94602
672	12774.95044
673	12721.5119
674	12679.67236
675	12647.10381
676	12633.91692
677	12608.97747
678	12594.66214
679	12568.81393
680	12534.78474
681	12508.14938
682	12473.60816
683	12470.52179
684	12467.85647
685	12428.42426
686	12411.10995
687	12407.91174
688	12399.23026
689	12397.24423
690	12394.83706
691	12370.79263
692	12365.50082
693	12352.75661
694	12344.12126
695	12312.91545
696	12291.10846
697	12255.50369
698	12233.27193
699	12218.58472
700	12215.56997
701	12209.97366
702	12190.92518
703	12172.68045
704	12155.19418
705	12145.61172
706	12128.8157
707	12115.7063
708	12105.43121
709	12092.29138
710	12081.2674
711	12062.21509
712	12048.004
713	12031.84211
714	12016.3255
715	12001.42067
716	11981.1547
717	11964.91803
718	11938.91068
719	11910.69385
720	11899.92638
721	11896.87083
722	11895.10764
723	11882.94595
724	11871.08834
725	11867.10976
726	11853.30297
727	11847.06644
728	11826.83251
729	11817.82599
730	11813.03605
731	11803.08478
732	11785.3988
733	11771.46511
734	11752.73872
735	11738.59916
736	11724.99053
737	11711.88323
738	11703.42424
739	11700.74294
740	11688.96601
741	11676.43155
742	11644.23911
743	11641.2408
744	11623.27471
745	11621.69169
746	11605.36353
747	11602.25131
748	11597.93767
749	11591.14803
750	11588.41492
751	11581.71506
752	11573.01803
753	11557.02911
754	11524.73749
755	11518.24345
756	11491.48328
757	11481.5252
758	11477.80373
759	11461.27515
760	11444.99601
761	11440.60955
762	11421.56055
763	11391.5597
764	11384.20396
765	11380.61786
766	11349.06933
767	11346.45236
768	11342.82734
769	11332.18277
770	11312.9941
771	11300.09383
772	11293.74991
773	11290.43153
774	11284.66178
775	11268.9653
776	11267.19815
777	11255.85441
778	11241.10162
779	11238.52888
780	11215.21669
781	11201.96452
782	11179.573
783	11145.67361
784	11140.47236
785	11127.41954
786	11100.83751
787	11068.24597
788	11065.76896
789	11049.39477
790	11045.81932
791	11034.81137
792	11021.22833
793	11017.93341
794	11016.27904
795	11013.72341
796	10990.46992
797	10986.47212
798	10975.35821
799	10971.68566
800	10958.06793
801	10950.88817
802	10939.99002
803	10936.94229
804	10933.34351
805	10930.57341
806	10928.21189
807	10919.87893
808	10900.4232
809	10887.23132
810	10875.27711
811	10863.02438
812	10837.70234
813	10814.8911
814	10808.07351
815	10803.29229
816	10786.91502
817	10784.01976
818	10782.08756
819	10755.58573
820	10751.56797
821	10717.87314
822	10706.34181
823	10695.2506
824	10684.57827
825	10674.305
826	10664.41224
827	10654.51077
828	10644.95584
829	10635.5928
830	10610.09288
831	10605.53029
832	10581.78302
833	10575.08218
834	10552.56024
835	10549.01257
836	10534.73559
837	10518.06407
838	10503.54083
839	10502.17225
840	10496.96217
841	10478.35799
842	10473.19827
843	10470.95904
844	10457.53164
845	10436.72181
846	10434.23809
847	10421.98445
848	10419.88852
849	10401.75605
850	10399.05983
851	10395.96505
852	10383.07367
853	10372.26902
854	10369.49103
855	10349.42397
856	10346.99207
857	10344.87003
858	10335.8728
859	10318.7206
860	10316.5737
861	10309.33757
862	10300.59077
863	10280.95578
864	10257.18609
865	10248.95704
866	10245.09337
867	10230.99368
868	10209.19171
869	10206.82351
870	10200.89663
871	10189.45703
872	10147.04571
873	10143.61393
874	10141.2454
875	10136.89579
876	10134.18252
877	10127.35719
878	10124.72949
879	10106.8586
880	10092.19747
881	10063.26445
882	10054.11576
883	10051.00539
884	10042.32113
885	10028.68703
886	10018.69122
887	9991.793838
888	9972.854908
889	9967.913594
890	9950.145486
891	9933.67401
892	9913.945169
893	9895.929369
894	9886.468725
895	9875.715262
896	9870.919961
897	9862.712116
898	9846.123811
899	9843.426996
900	9835.147781
901	9825.625341
902	9820.106275
903	9814.411394
904	9812.958334
905	9798.794139
906	9765.311355
907	9752.211531
908	9748.020023
909	9746.883335
910	9724.190852
911	9722.121373
912	9701.414635
913	9698.255254
914	9693.555683
915	9677.728153
916	9673.500197
917	9660.057766
918	9654.815708
919	9652.40785
920	9634.393941
921	9631.646778
922	9612.569393
923	9597.176797
924	9590.428239
925	9589.275923
926	9585.686351
927	9580.247378
928	9577.78691
929	9574.899811
930	9566.587361
931	9547.952819
932	9545.188223
933	9542.430546
934	9539.775821
935	9524.086057
936	9509.330903
937	9507.926833
938	9494.670967
939	9486.453203
940	9478.959037
941	9471.633103
942	9465.247208
943	9448.25061
944	9446.207295
945	9444.174851
946	9429.501837
947	9415.358031
948	9413.494844
949	9411.696884
950	9392.882082
951	9377.355433
952	9374.691064
953	9372.872929
954	9363.388969
955	9357.046696
956	9328.205635
957	9316.298207
958	9314.290445
959	9299.860708
960	9296.692898
961	9287.528354
962	9285.560931
963	9281.34541
964	9272.467993
965	9257.333881
966	9256.235436
967	9251.357626
968	9246.194343
969	9243.821451
970	9238.055532
971	9229.573788
972	9224.28465
973	9206.624725
974	9202.424903
975	9199.494136
976	9198.283017
977	9195.539872
978	9193.275621
979	9192.15368
980	9174.645012
981	9163.042264
982	9153.835464
983	9142.420102
984	9127.285717
985	9124.831612
986	9114.652243
987	9112.910363
988	9111.912959
989	9107.31081
990	9101.559159
991	9099.326661
992	9091.809328
993	9077.83371
994	9071.321105
995	9069.29886
996	9061.670061
997	9059.176187
998	9053.926815
999	9040.186655
